"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","15-Jun-2016","       1151.85","       1155.00","       1170.90","       1153.20","       1168.00","       1169.55","       1162.38","     761456","           885102790.95","      18995","     473129","         62.13"
"HDFCBANK","EQ","16-Jun-2016","       1169.55","       1166.55","       1168.85","       1155.35","       1160.75","       1162.15","       1162.80","    1181942","          1374366879.35","      29029","     735044","         62.19"
"HDFCBANK","EQ","17-Jun-2016","       1162.15","       1167.00","       1178.00","       1165.55","       1171.10","       1170.00","       1172.49","     940413","          1102623949.10","      16726","     560769","         59.63"
"HDFCBANK","EQ","20-Jun-2016","       1170.00","       1159.00","       1179.25","       1158.80","       1170.00","       1172.05","       1172.16","     685691","           803741569.30","      21802","     357602","         52.15"
"HDFCBANK","EQ","21-Jun-2016","       1172.05","       1175.00","       1175.45","       1161.20","       1164.30","       1166.65","       1166.05","     667742","           778619035.60","      12721","     356707","         53.42"
"HDFCBANK","EQ","22-Jun-2016","       1166.65","       1166.00","       1175.00","       1166.00","       1169.10","       1171.50","       1171.63","     950960","          1114176752.65","      31558","     634707","         66.74"
"HDFCBANK","EQ","23-Jun-2016","       1171.50","       1169.80","       1191.85","       1167.50","       1191.50","       1190.10","       1184.36","     981683","          1162668048.20","      18772","     577439","         58.82"
"HDFCBANK","EQ","24-Jun-2016","       1190.10","       1159.85","       1171.90","       1147.00","       1161.00","       1161.90","       1154.94","    2793491","          3226301497.90","      53496","    1700254","         60.86"
"HDFCBANK","EQ","27-Jun-2016","       1161.90","       1162.00","       1169.00","       1153.05","       1160.00","       1159.95","       1162.11","    1040947","          1209693980.00","      26122","     618389","         59.41"
"HDFCBANK","EQ","28-Jun-2016","       1159.95","       1161.25","       1173.10","       1150.00","       1169.30","       1166.95","       1168.27","    1008745","          1178482693.40","      28328","     561927","         55.71"
"HDFCBANK","EQ","29-Jun-2016","       1166.95","       1165.00","       1169.50","       1159.70","       1168.00","       1168.30","       1165.87","    1355167","          1579948212.30","      39547","     947929","         69.95"
